AARDVARKS,AARDVARK(South African) a nocturnal
AMMONATES,AMMONATEa type of ammonia compound
AMMONIACS,AMMONIACa gum resin [n]
AMMONIATE,to compound with ammonia [v AMMONIATEDAMMONIATING
AMMONICAL,of or pertaining to ammoniaalso AMMONIACAL [adj]
AMMONITES,AMMONITEthe coiled shell of an extinct mollusk
AMMONITIC,of or like an ammonitea type of fossil [adj]
AMMONIUMS,AMMONIUMthe ion NH4+
AMMONOIDS,AMMONOIDthe coiled shell of an extinct mollusk
AMNESIACS,AMNESIACone who suffers from amnesia
AMNESTIED,AMNESTYto pardon during a limited period [v]
AMNESTIES,AMNESTYto pardon during a limited period [v]
AMNIOTOMY,surgical removal of the amnion [n AMNIOTOMIES]
AMOEBAEAN,relating to an amebaalso AMEBAN
AMORALISM,the refusal to recognize the validity of any system of morality [n -S]
AMORALIST,a practitioner of amoralismthe refusal to recognize the validity of any system of morality [n -S]
AMORALITY,the absence of morality [n AMORALITIES]
AMORANCES,AMORANCEthe state of being in love; romantic love [n]
AMORETTOS,AMORETTO(Italian) a cherub or spirit of love [n]
AMORISTIC,amorous [adj]
AMORNINGS,(dialect) of a morning [adv]
AMOROSITY,the quality of being amorous [n AMOROSITIES]
AMOROUSLY,AMOROUSpertaining to love [adv]
AMORPHISM,absence of regular form; amorphous quality [n -S]
AMORPHOUS,without definite shape [adj AMORPHOUSLY]
AMORTISED,AMORTISEto liquidate gradually
AMORTISES,AMORTISEto liquidate gradually
AMORTIZED,AMORTIZEto liquidate gradually
AMORTIZES,AMORTIZEto liquidate gradually
AMOUNTING,AMOUNTto come to in total [v]
AMOURETTE,(French) a brief or unimportant love affair [n -S]
AMPASSIES,AMPASSYampersand
AMPERAGES,AMPERAGEthe strength of an electric current expressed in amperes [n]
AMPERSAND,the and sign &also AMPERZAND [n -S]
AMPERZAND,the and sign &also AMPERSAND [n -S]
AMPHIBIAN,any cold-blooded vertebrate of the class Amphibiatypically living on land but breeding in water
AMPHIBOLE,any mineral of a group of dark-colouredrock-forming silicates [n -S]
AMPHIBOLY,a grammatically ambiguous phrase or sentencealso AMPHIBOLOGY [n AMPHIBOLIES]
AMPHIGORY,a nonsensical piece of writingusually in verse form
AMPHIOXUS,(Greek) a fishlike creaturetwo or three inches long
AMPHIPATH,of or relating to a molecule that possesses both hydrophobic and hydrophilic elements [adj]
AMPHIPODS,AMPHIPODa crustacean of the order Amphipoda
AMPHOLYTE,an amphoteric electrolyte [n -S]
AMPLENESS,the state of being ample [n -ES]
AMPLIDYNE,a type of direct-current generator [n -S]
AMPLIFIED,AMPLIFYto make larger or more powerful [v]
AMPLIFIER,a device for making sound louder [n -S]
AMPLIFIES,AMPLIFYto make larger or more powerful [v]
AMPLITUDE,largenessabundance [n -S]
AMPLOSOME,the short or stocky type of human figure [n -S]
AMPULLARY,resembling an ampullaalso AMPULLAR [adj]
AMPUTATED,AMPUTATEto cut off [v]
AMPUTATES,AMPUTATEto cut off [v]
AMPUTATOR,one who amputates [n -S]
AMSINCKIA,a Californian herbaka fiddleneck [n -S]
AMUSEABLE,capable of being amusedalso AMUSABLE [adj]
AMUSEMENT,a recreationpastime [n -S]
AMUSETTES,AMUSETTE(French) a light field cannon
AMUSINGLY,AMUSINGAMUSE
AMYGDALAE,AMYGDALA(Latin) any almond-shaped formation in body
AMYGDALES,AMYGDALEa small gas bubble in lava
AMYGDALIN,a glucoside in bitter almondsused as an expectorant [n -S]
AMYGDULES,AMYGDULEa small gas bubble in lava
AMYLOGENS,AMYLOGENthe relatively soluble component of starch
AMYLOIDAL,resembling or containing starch [adj]
AMYLOPSIN,an enzyme in pancreatic juice [n -S]
AMYOTONIA,deficiency of muscle tone [n -S]
ANABAENAS,ANABAENA(Greek) a kind of freshwater alga [n]
ANABANTID,any of various spiny-finned fishes of the family Anabantidae [n -S]
ANABIOSES,ANABIOSISa return to life after apparent death [n]
ANABIOSIS,a return to life after apparent death [n ANABIOSES]
ANABIOTIC,relating to anabiosisreturn to life after apparent death [adj]
ANABOLISM,the constructive metabolism of the bodyas distinguished from katabolism [n -S]
ANABOLITE,a product of anabolismthe constructive metabolism of the body
ANABRANCH,a stream that leaves a river and reenters lower down [n -ES]
ANACHARIS,a freshwater weed of the frogbit familynative to America [n -ES]
ANACLINAL,of valleysprogressing in a direction opposite to the dip of the surrounding rock strata [adj]
ANACLISES,ANACLISISthe state of being anaclitic
ANACLISIS,the state of being anacliticcharacterised by strong emotional dependence on others [n ANACLISES]
ANACLITIC,characterised by anaclisisstrong emotional dependence on others [adj]
ANACONDAS,ANACONDA(Sinhalese) a large S American snake [n]
ANACRUSES,ANACRUSIS(Greek) one or more unstressed notes immediately preceding the first bar line [n]
ANACRUSIS,(Greek) one or more unstressed notes immediately preceding the first bar line [n ANACRUSES]
ANAEROBES,ANAEROBEan organism that lives in absence of free oxygen [n]
ANAEROBIA,ANAEROBIUMan organism not requiring oxygen for its life processes
ANAEROBIC,living in the absence of free oxygenalso ANAEROBIOTIC [adj ANAEROBICALLY]
ANAGLYPHS,ANAGLYPH(Greek) a type of carved ornament [n]
ANAGLYPHY,(Greek) the art of carving in low relief [n ANAGLYPHIES]
ANAGOGIES,ANAGOGYa spiritual
ANALCIMES,ANALCIMEa white or flesh-red mineral of the zeolite family
ANALCIMIC,of or like analcimea mineral of the zeolite family [adj]
ANALCITES,ANALCITEa white or flesh-red mineral of the zeolite family
ANALECTIC,relating to analects; made up of selections; asan analectic magazine [adj]
ANALEMMAS,ANALEMMA(Greek) the figure-8 on a map showing the sun's seasonal course [n]
ANALEPTIC,restoring vigour [adj] / a restorative medicine [n -S]
ANALGESIA,the inability to feel painalso ANALGIA [n -S]
ANALGESIC,relieving pain [adj] / a substance relieving painalso ANALGETIC [n -S]
ANALGETIC,relieving pain [adj] / a substance relieving painalso ANALGESIC [n -S]
ANALITIES,ANALITYa stage of infantile development thought to involve a preoccupation with the anus and defecation [n]
ANALOGIES,ANALOGYa figure of speech involving a comparison [n]
ANALOGISE,to make an analogy [v ANALOGISEDANALOGISING
ANALOGISM,the act of analogizing [n -S]
ANALOGIST,one who reasons from analogyor represents by analogy [n -S]
ANALOGIZE,to make an analogyalso ANALOGISE [v ANALOGIZED
ANALOGONS,ANALOGON(Greek) that which is analogous to
ANALOGOUS,bearing some correspondence or resemblance [adj ANALOGOUSLY]
ANALOGUES,ANALOGUEsomething that bears a resemblance to something else
ANALYSAND,a person undergoing psychoanalysis [n -S]
ANALYSERS,ANALYSERone who analyses [n]
ANALYSING,ANALYSEto separate a whole into parts
ANALYTICS,ANALYTICanalytic logic [n]
ANALYZERS,ANALYZERa person who analyses
ANALYZING,ANALYZEto subject to analysis
ANAMNESES,ANAMNESISa recalling to mind; a preliminary case history of a medical or psychiatric patient [n]
ANAMNESIS,a recalling to mind; a preliminary case history of a medical or psychiatric patient [n ANAMNESES]
ANAMNIOTE,any vertebrate animalsuch as a fish or amphibian
ANANDROUS,without stamens [adj]
ANANTHOUS,having no flowers [adj]
ANAPAESTS,ANAPAEST(Greek) a type of metrical foot
ANAPESTIC,a verse in the form of an anapesttwo short metrical syllables followed by one long one [n ANAPESTICS]
ANAPHASES,ANAPHASEthe stage of meiosis in which daughter chromosomes move towards the nuclear spindle [n]
ANAPHASIC,relating to the anaphasethe stage of meiosis in which daughter chromosomes move towards the nuclear spindle [adj]
ANAPHORAL,of or like anaphorarepetition of a word or expression at the beginning of successive phrases etc.
ANAPHORAS,ANAPHORA(Greek) the repetition of a word or expression at the beginning of successive phrases
ANAPHORIC,referring to a preceding word or group of wordsalso ANAPHORAL
ANAPLASIA,reversion of plant or animal cells to a simpler form [n -S]
ANAPLASTY,the art or operation of restoring lost parts or the normal shape by the use of healthy tissue [n ANAPLASTIES]
ANAPTYXES,ANAPTYXIS(Greek) the insertion of a vowel between two consonants for ease of pronunciation [n]
ANAPTYXIS,(Greek) the insertion of a vowel between two consonants for ease of pronunciation [n ANAPTYXES]
ANARCHIAL,relating to anarchythe complete absence of law or government
ANARCHIES,ANARCHYthe absence of law or government [n]
ANARCHISE,to reduce to anarchyalso ANARCHIZE [v ANARCHISED
ANARCHISM,the doctrine or practice of anarchists [n -S]
ANARCHIST,one who advocates anarchy or aims at the overthrow of civil government [n -S]
ANARCHIZE,to reduce to anarchyalso ANARCHISE [v ANARCHIZED
ANARTHRIA,loss of the ability to speak coherently [n -S]
ANARTHRIC,relating to anarthrialoss of the ability to speak coherently [adj]
ANASARCAS,ANASARCA(Greek) dropsy of the subcutaneous cellular tissue [n]
ANASTASES,ANASTASIS(Greek) in Byzantine art
ANASTASIS,(Greek) in Byzantine artthe Harrowing of Hell [n ANASTASES]
ANASTATIC,pertaining to a process or a style of printing from characters in relief on zinc plates [adj]
ANATHEMAS,ANATHEMA(Greek) the formal act or formula of consigning to damnation [n]
ANATOMIES,ANATOMYthe structure of an organism [n]
ANATOMISE,to dissectexamine minutely
ANATOMIST,one who practises anatomy [n -S]
ANATOMIZE,to dissectexamine minutely
ANATOXINS,ANATOXINa potent alkaloid toxin derived from a species of cyanobacteria [n]
ANCESTORS,ANCESTORto be an ancestor to [v]
ANCESTRAL,relating to ancestors [adj ANCESTRALLY] / a type of relation in logic [n -S]
ANCHORAGE,a place where a ship can anchor [n -S]
ANCHORESS,a female anchoriteone who lives in seclusion
ANCHORETS,ANCHORETone who lives in seclusion
ANCHORING,ANCHORto secure by means of an anchor [v]
ANCHORITE,one who lives in seclusionusually for religious reasons
ANCHORMAN,in broadcastinga person in a central studio who links up and maintains contact with various outside camera units [n ANCHORMEN]
ANCHORMEN,ANCHORMANin broadcasting
ANCHOVETA,(Spanish) a small fish like an anchovyalso ANCHOVETTA [n -S]
ANCHOVIES,ANCHOVYa small edible Mediterranean fish of the herring family [n]
ANCHUSINS,ANCHUSINa red dye obtained from alkanet root [n]
ANCHYLOSE,of bonesto fuse or stiffen by ankylosis
ANCIENTER,ANCIENTvery old
ANCIENTLY,ANCIENTvery old
ANCIENTRY,(archaic) the state of being ancient; old people collectively [n ANCIENTRIES]
ANCILLARY,subordinate or subsidiary [adj] / something that functions as an accessory [n ANCILLARIES]
ANCIPITAL,two-edged and flattenedalso ANCIPITOUS [adj]
ANCRESSES,ANCRESSa female anchorite
ANDANTINI,ANDANTINOa movement rather quicker than andante [n]
ANDANTINO,(Italian) rather quicker than andante [adj] / a movement rather quicker than andante [n ANDANTINOS or ANDANTINI]
ANDESINES,ANDESINEa kind of triclinic feldspar found in the Andes [n]
ANDESITES,ANDESITEa volcanic rock found in the Andes
ANDESITIC,of or like andesitea fine-grained volcanic rock [adj]
ANDESYTES,ANDESYTEa volcanic rock
ANDOUILLE,(French) a kind of sausage [n -S]
ANDRADITE,a green-to-black garnet [n -S]
ANDROECIA,ANDROECIUMthe male organs (stamens) of a flower taken collectively [n]
ANDROGENS,ANDROGENa male sex hormone [n]
ANDROGYNE,a hermaphrodite; an effeminate man; a masculine woman [n -S]
ANDROGYNY,hermaphroditism [n ANDROGYNIES]
ANDROLOGY,the branch of medicine dealing with diseases specific to males [n ANDROLOGIES]
ANDROMEDA,a plant of the genus Andromedashrubs of the heath family [n -S]
ANECDOTAL,relating to anecdotealso ANECDOTIC [adj ANECDOTALLY]
ANECDOTES,ANECDOTEa brief story [n]
ANECDOTIC,pertaining to anecdotealso ANECDOTAL [adj ANECDOTICALLY]
ANECDYSES,ANECDYSISa period between moults in arthropods [n]
ANECDYSIS,a period between moults in arthropods [n ANECDYSES]
ANELASTIC,not elastic [adj]
ANEMOGRAM,a record made by an anemographan instrument for measuring the pressure and velocity of wind [n -S]
ANEMOLOGY,the study of winds [n ANEMOLOGIES]
ANESTROUS,relating to anestrusa period of sexual inactivity between periods of estrus [adj]
ANETHOLES,ANETHOLEan aromatic ether which is the major constituent of certain oils
ANEUPLOID,a cell or individual with missing or extra chromosomes [n -S]
ANEURISMS,ANEURISMdilatation of an artery
ANEURYSMS,ANEURYSMdilatation of an artery
ANGASHORE,(Irish) a miserable person given to complainingalso ANGISHORE [n -S]
ANGEKKOKS,ANGEKKOK(Inuit) an Inuit sorcerer
ANGELFISH,a brightly coloured tropical fish [n -ES]
ANGELHOOD,the state of being an angel [n -S]
ANGELICAL,of or like an angelalso ANGELIC [adj ANGELICALLY]
ANGELICAS,ANGELICAan aromatic herb with white flowers
ANGELUSES,ANGELUS(Latin) a prayer said in morning
ANGERLESS,without anger [adj]
ANGIOGRAM,a photograph made by angiography [n -S]
ANGIOLOGY,the branch of medical science concerned with blood vessels and the lymphatic system [n ANGIOLOGIES]
ANGIOMATA,ANGIOMAa benign tumour due to dilated blood vessels [n]
ANGISHORE,(Canadian) a weakmiserable person
ANGKLUNGS,ANGKLUNG(Javanese) a musical instrument of South Asia
ANGLEDUGS,ANGLEDUG(English dialect) an earthworm
ANGLEPODS,ANGLEPODany of a genus of plants of the milkweed family [n]
ANGLESITE,a native sulphate of leadoccurring in white or yellowish transparent
ANGLEWISE,in an angular manner; angularly [adv]
ANGLEWORM,an earthworm of the genus Lumbricusfrequently used by anglers for bait [n -S]
ANGLICISE,to make Englishalso ANGLICIZE [v ANGLICISED
ANGLICISM,an English idiom or peculiarity [n -S]
ANGLICIST,a person with a scholarly knowledge of the English languagealso ANGLIST [n -S]
ANGLICIZE,to make Englishalso ANGLICISE [v ANGLICIZED
ANGLIFIED,ANGLIFYto make English [v]
ANGLIFIES,ANGLIFYto make English [v]
ANGLOPHIL,one who loves the Englishalso ANGLOPHILE [n -S]
ANGOPHORA,(Greek) an East Australian treerelated to the eucalyptus [n -S]
ANGOSTURA,a bitter aromatic barkformerly used in medicine [n -S]
ANGRINESS,the quality of being angryor of being inclined to anger [n -ES]
ANGSTIEST,ANGSTYfeeling anxious [adj]
ANGSTROMS,ANGSTROM(Swedish) a unit of length
ANGUIFORM,shaped like a snake [adj]
ANGUIPEDE,a mythical giant having feet or legs in the form of snakesalso ANGUIPED [n -S]
ANGUIPEDS,ANGUIPED(Latin) a mythical giant having feet or legs in the form of snakes
ANGUISHED,ANGUISHto suffer extreme pain [v]
ANGUISHES,ANGUISHto suffer extreme pain [v]
ANGULARLY,ANGULARhaving an angle [adv]
ANGULATED,ANGULATEto form with angles [v]
ANGULATES,ANGULATEto form with angles [v]
ANHEDONIA,an unresponsiveness to pleasure [n -S]
ANHEDONIC,suffering from anhedoniaunable to experience pleasure [adj]
ANHEDRALS,ANHEDRALthe downward inclination of an aircraft's wing [n]
ANHUNGRED,(archaic) hungryalso AHUNGERED
ANHYDRASE,an enzyme that catalyses the removal of water [n -S]
ANHYDRIDE,a compound derived from an acid by the removal of one or more molecules of water [n -S]
ANHYDRITE,an anhydrous sulphate of limediffering from gypsum in not containing water (whence the name) [n -S]
ANHYDROUS,destitute of water; asanhydrous salts or acids [adj]
ANICONISM,the worship of an object symbolising but not representing a god [n -S]
ANICONIST,one who practises aniconismthe worship of an object symbolising but not representing a god [n -S]
ANIDROSES,ANIDROSISabsence of sweating
ANIDROSIS,absence of sweatingalso ANHIDROSIS [n ANIDROSES]
ANILINGUS,oral stimulation of the anusalso ANILINCTUS [n -ES]
ANILITIES,ANILITYthe state of being an old woman [n]
ANIMACIES,ANIMACYthe state of being animate [n]
ANIMALIAN,of or like an animalalso ANIMALIC [adj]
ANIMALIER,a sculptor or painter of animal subjects [n -S]
ANIMALISE,to endow with the properties of an animal; to represent in animal formalso ANIMALIZE [v ANIMALISED
ANIMALISM,physicality; the state of being actuated by mere animal appetites [n -S]
ANIMALIST,a person who believes in animalism [n -S]
ANIMALITY,animal existence or nature [n ANIMALITIES]
ANIMALIZE,to endow with the properties of an animal; to represent in animal formalso ANIMALISE [v ANIMALIZED
ANIMATELY,ANIMATEliving
ANIMATERS,ANIMATERone who
ANIMATEUR,a person who enlivens or encourages somethingespecially a promoter of artistic enterprises [n -S]
ANIMATICS,ANIMATICa section of animation in a TV commercial [n]
ANIMATING,ANIMATEto give life to [v]
ANIMATION,the state of being animated [n -S]
ANIMATISM,the primitive attribution of life to natural phenomena [n -S]
ANIMATIST,one who believes in animatismthe primitive attribution of life to natural phenomena [n -S]
ANIMATORS,ANIMATORone who
ANIMISTIC,of or pertaining to animismthe attribution of soul to inanimate objects [adj]
ANIMOSITY,hostility [n ANIMOSITIES]
ANIRIDIAS,ANIRIDIAa congenital condition in which the eye is incompletely formed [n]
ANISETTES,ANISETTE(French) a cordial or liqueur flavored with anise seeds [n]
ANISOGAMY,union between markedly different gametes e.g. as egg and spermas in humans [n ANISOGAMIES]
ANKERITES,ANKERITEa mineral closely related to dolomite
ANKLEBONE,the bone of the ankle [n -S]
ANKYLOSED,ANKYLOSEto fuse as the bones of a joint [v]
ANKYLOSES,ANKYLOSEto fuse as the bones of a joint [v]
ANKYLOSIS,the joining together of bones or hard parts; the resulting stiffnessalso ANCHYLOSIS [n ANKYLOSES]
ANKYLOTIC,relating to ankylosisthe joining together of bones or hard parts
ANNALISED,ANNALISEto record in annals
ANNALISES,ANNALISEto record in annals
ANNALISTS,ANNALISTa historian
ANNALIZED,ANNALIZEto record in annals
ANNALIZES,ANNALIZEto record in annals
ANNEALERS,ANNEALERone who anneals [n]
ANNEALING,the process of making (as steel or glass) less brittle by heating and then cooling [n -S]
ANNECTENT,having intermediate features between two taxa [adj]
ANNELIDAN,a member of the Annelidared-blooded worms [n -S]
ANNEXABLE,that can be annexed [adj]
ANNEXIONS,ANNEXION(archaic) the act of annexing
ANNEXMENT,the act of annexingor the thing annexed [n -S]
ANNEXURES,ANNEXUREsomething added
ANNOTATED,ANNOTATEto append notes [v]
ANNOTATES,ANNOTATEto append notes [v]
ANNOTATOR,one who annotates [n -S]
ANNOUNCED,ANNOUNCEto make known publicly [v]
ANNOUNCER,one who announces [n -S]
ANNOUNCES,ANNOUNCEto make known publicly [v]
ANNOYANCE,something that annoys [n -S]
ANNUALISE,to convert to a yearly ratealso ANNUALIZE [v ANNUALISED
ANNUALIZE,to convert to a yearly ratealso ANNUALISE [v ANNUALIZED
ANNUITANT,one who receivesor is entitled to receive
ANNUITIES,ANNUITYincome paid at regular intervals [n]
ANNUITISE,to commence a series of payments from the capital that has accumulated in an annuityalso ANNUITIZE [v ANNUITISED
ANNUITIZE,to commence a series of payments from the capital that has accumulated in an annuityalso ANNUITISE [v ANNUITIZED
ANNULARLY,ANNULARring-shaped [adv]
ANNULATED,marked with a ring or rings [adj]
ANNULATES,ANNULATE(obsolete) an annelid worm [n]
ANNULLING,ANNULto declare void [v]
ANNULMENT,the act of annulling [n -S]
ANNULUSES,ANNULUS(Latin) a ring or ringlike part [n]
ANODISERS,ANODISERsomething that anodises
ANODISING,ANODISEto give a protective coat
ANODIZERS,ANODIZERsomething that anodises
ANODIZING,ANODIZEto give a protective coat
ANODONTIA,congenital absence of teeth [n -S]
ANOESTRUM,(Greek) a period of sexual inactivityalso ANESTRUM [n ANOESTRA]
ANOESTRUS,(Greek) a period of sexual dormancyalso ANESTRUS [n ANOESTRI]
ANOINTERS,ANOINTERone who anoints [n]
ANOINTING,the act of consecrating with oil [n -S]
ANOMALIES,ANOMALYdeviation from the rule [n]
ANOMALOUS,irregular; deviating from rule [adj ANOMALOUSLY]
ANONYMISE,to make anonymousalso ANONYMIZE [v ANONYMISED
ANONYMITY,the state of being anonymous [n ANONYMITIES]
ANONYMIZE,to make anonymousalso ANONYMISE [v ANONYMIZED
ANONYMOUS,without a name [adj ANONYMOUSLY]
ANOOPSIAS,ANOOPSIAa visual defect
ANOPHELES,(Greek) a kind of mosquito [n ANOPHELES]
ANORECTAL,pertaining to anorexiaalso ANORECTIC
ANORECTIC,pertaining to anorexia [adj] / one suffering from anorexiaalso ANORECTAL
ANORETICS,ANORETICone suffering from anorexia also ANORECTIC
ANOREXIAS,ANOREXIAlack of appetite [n]
ANOREXICS,ANOREXICone suffering from anorexia also ANORECTIC
ANOREXIES,ANOREXYlack of appetite
ANORTHITE,a plagioclase feldsparcalcium aluminium silicate [n -S]
ANOSMATIC,relating to anosmialack or loss of sense of smell
ANOVULANT,inhibiting ovulation [adj] / a drug that inhibits ovulation [n -S]
ANOXAEMIA,a disorder of the bloodalso ANOXEMIA [n -S]
ANOXAEMIC,relating to anoxaemiaa disorder of the blood
ANOXEMIAS,ANOXEMIAa disorder of the blood
ANSAPHONE,another name for a telephone answering machinealso ANSWERPHONE [n -S]
ANSERINES,ANSERINEa bird of the goose family [n]
ANSWERERS,ANSWERERone that answers [n]
ANSWERING,ANSWERto say
ANTALGICS,ANTALGICa medicine which relieves pain [n]
ANTALKALI,a substance that neutralises alkalis [n ANTALKALIS or ANTALKALIES]
ANTARCTIC,ofnear
ANTEATERS,ANTEATERany of several mammals that feed on ants [n]
ANTECEDED,ANTECEDEto go before [v]
ANTECEDES,ANTECEDEto go before [v]
ANTECHOIR,the space in front of the choir in a church [n -S]
ANTEDATED,ANTEDATEto date from before [v]
ANTEDATES,ANTEDATEto date from before [v]
ANTEFIXAE,ANTEFIXA(Latin) an ornament at the end of a classical building
ANTEFIXAL,relating to an antefixan ornament at the end of a classical building [adj]
ANTEFIXES,ANTEFIXan ornament at the end of a classical building
ANTELOPES,ANTELOPEany one of a group of hollow-horned
ANTELUCAN,(archaic) pertaining to the hours before dawn [adj]
ANTENATAL,before birth [adj ANTENATALLY] / an examination during pregnancy [n -S]
ANTENNARY,having antennae [adj]
ANTENNULE,one of a first or smaller pair of antennae in crustaceans [n -S]
ANTEPASTS,ANTEPAST(obsolete) a foretaste
ANTEROOMS,ANTEROOMa room before
ANTETYPES,ANTETYPEsomething which a type or symbol represents
ANTEVERTS,ANTEVERTto displace a body organ forwards [v]
ANTHELION,(Greek) a ring seen opposite the sun [n ANTHELIA]
ANTHEMING,ANTHEMto praise in a national song [v]
ANTHEMION,(Greek) a flat cluster of leaves or flowers as an ornament in classical art [n ANTHEMIA]
ANTHERIDS,ANTHERIDthe male reproductive organ of some plants [n]
ANTHOCARP,a fruit resulting from many flowerssuch as a pineapple [n -S]
ANTHOCYAN,a glucoside plant pigmentviolet in neutral
ANTHODIUM,the flower head of certain plants [n ANTHODIA]
ANTHOLOGY,a choice collection of writings [n ANTHOLOGIES]
ANTHOTAXY,the arrangement of flowers on a stem or parts on a flower [n ANTHOTAXIES]
ANTHOZOAN,any animal of the class Anthozoa of marine coelenterateswhich includes sea anemones
ANTHOZOIC,of or like an anthozoanany animal of the class Anthozoa of marine coelenterates [adj]
ANTHRACES,ANTHRAXa deadly disease of sheep or cattle [n]
ANTHRACIC,of or relating to anthrax; asanthracic blood [adj]
ANTHRAXES,ANTHRAXa deadly disease of sheep or cattle [n]
ANTHROPIC,of or relating to human beings or the period of their existence on earthalso ANTHROPICAL [adj]
ANTHURIUM,a tropical American plant [n -S]
ANTIABUSE,designed to prevent abuse [adj]
ANTIAGING,designed to prevent ageing [adj]
ANTIALIEN,opposed to foreigners [adj]
ANTIARINS,ANTIARINa poisonous principle obtained from antiar
ANTIARMOR,designed or equipped to combat armored vehiclesalso ANTIARMOUR [adj]
ANTIATOMS,ANTIATOMan atom comprised of antiparticles [n]
ANTIAUXIN,a plant substance that opposes or represses the effects of an auxina growth hormone [n -S]
ANTIBLACK,against black people [adj]
ANTIBUSER,a person who opposes the busing of children to faraway schools to achieve racial balance [n -S]
ANTICALLY,ANTICALabove or in front of another plant part
ANTICHLOR,any substance used in removing the excess of chlorine left in paper pulp or stuffs after bleaching [n -S]
ANTICISED,ANTICISEto play antics
ANTICISES,ANTICISEto play antics
ANTICIVIC,opposed to citizenship [adj]
ANTICIZED,ANTICIZEto play antics
ANTICIZES,ANTICIZEto play antics
ANTICKING,ANTICto act in a clownish manner [v]
ANTICLINE,a fold that is convex upwardor that had such an attitude at some stage of its development [n -S]
ANTICLING,designed to prevent clinging e.g. of fabrics [adj]
ANTICODON,a triplet of nucleotide bases in transfer RNA [n -S]
ANTICRACK,opposed to the use of crack cocaine [adj]
ANTICRIME,opposed to crime [adj]
ANTICULTS,ANTICULTan organisation opposed to cults [n]
ANTIDORON,(Latin) the unconsecrated bread remaining after the Eucharistic Liturgyblessed by the priests and given to noncommunicants as well as communicants [n ANTIDORA]
ANTIDOTAL,having the quality of an antidote [adj ANTIDOTALLY]
ANTIDOTED,ANTIDOTEto counteract poison [v]
ANTIDOTES,ANTIDOTEto counteract poison [v]
ANTIDRAFT,opposed to the draft (of conscripts) [adj]
ANTIDUNES,ANTIDUNEa sandhill that forms a steep slope against the direction of the prevailing current [n]
ANTIELITE,opposed to an elite [adj] / a group opposed to an elite [n -S]
ANTIFRAUD,designed to reduce fraud [adj]
ANTIGENES,ANTIGENEa substance that stimulates the production of antibodies
ANTIGENIC,of or like an antigenany substance that stimulates the production of an antibody [adj ANTIGENICALLY]
ANTIGLARE,designed to counteract glare [adj]
ANTIGRAFT,designed to reduce corruption [adj]
ANTIHELIX,the curved elevation of the cartilage of the earwithin or in front of the helix
ANTIHUMAN,opposed to humanity [adj]
ANTIKINGS,ANTIKINGa usurping king [n]
ANTIKNOCK,an additive in petrolused to prevent knock [n -S]
ANTILABOR,opposed to labour organisations [adj]
ANTILIFER,a person in favour of abortion [n -S]
ANTIMACHO,opposed to being macho [adj]
ANTIMASKS,ANTIMASKa secondary mask
ANTIMERES,ANTIMEREone of the two halves of bilaterally symmetrical animals [n]
ANTIMERIC,of or like an antimereone of the two halves of bilaterally symmetrical animals [adj]
ANTIMONIC,containing pentavalent antimony [adj]
ANTIMONYL,a substance containing the monovalent group antimony oxide [n -S]
ANTIMUONS,ANTIMUONthe antiparticle of a muon [n]
ANTIMUSIC,music intended to overthrow traditional conventions [n -S]
ANTIMYCIN,a crystalline antibiotic used as a fungicide etc. [n -S]
ANTINODAL,relating to an antinodea point of maximum disturbance midway between nodes [adj]
ANTINODES,ANTINODEa point of maximum disturbance midway between nodes [n]
ANTINOISE,a sound generated to reduce the level of another noise [n -S]
ANTINOMES,ANTINOMEone that is opposite to another [n]
ANTINOMIC,relating toor of the nature of
ANTINOVEL,a work written in defiance of novelistic convention [n -S]
ANTINUKER,a person opposed to the use of nuclear weapons or nuclear energyalso ANTINUKE [n -S]
ANTINUKES,ANTINUKEa person opposed to the use of nuclear weapons or nuclear energy
ANTIPAPAL,opposed to the pope or to popery [adj]
ANTIPARTY,opposed to a political party [adj] / a party opposed to a political party [n ANTIPARTIES]
ANTIPASTI,ANTIPASTO(Italian) an hors d'oeuvre
ANTIPASTO,(Italian) an hors d'oeuvrean appetizer [n ANTIPASTOS or ANTIPASTI]
ANTIPATHY,aversiondislike [n ANTIPATHIES]
ANTIPHONS,ANTIPHON(Greek) alternate chanting or singing [n]
ANTIPHONY,antiphonal chanting or singing [n ANTIPHONIES]
ANTIPODAL,situated at the opposite side of the earth or moon; diametrically opposed [adj] / in flowering plantsa type of cell [n -S]
ANTIPODES,ANTIPODEthe point on the earth's surface exactly opposite of a given point [n]
ANTIPOLAR,relating to an antipolethe opposite pole [adj]
ANTIPOLES,ANTIPOLEthe opposite pole [n]
ANTIPOPES,ANTIPOPEa pope who opposes the properly elected pope [n]
ANTIPRESS,opposed to the Press [adj]
ANTIPYICS,ANTIPYICa medicine that prevents pus forming [n]
ANTIQUARK,the antimatter equivalent of a quark [n -S]
ANTIQUARY,a student or collector of antiquities or antiques [n ANTIQUARIES]
ANTIQUATE,to make antique [v ANTIQUATEDANTIQUATING
ANTIQUELY,ANTIQUEvery old
ANTIQUERS,ANTIQUERone who antiques
ANTIQUIER,ANTIQUEYhaving the appearance of an antique [adj]
ANTIQUING,ANTIQUEto alter the appearance of e.g. wood to make it seem very old [v]
ANTIQUITY,the quality of being ancient [n ANTIQUITIES]
ANTIRADAR,designed to foil radar [adj] / a device designed to foil radar [n -S]
ANTIROYAL,opposed to royalty [adj]
